ensembl_id	c1	c2	c3	c4	c5	c6	c7	c8	t1	t2	t3	t4	t5	t6	t7	t8
ENSG00000000003.13	895	4596	2304	2001	4014	6387	2381	1319	2027	3750	2255	2305	3489	1402	3554	1702
ENSG00000000005.5	4	0	1	1	0	2	0	1	2	0	0	5	0	3	1	0
ENSG00000000419.11	1845	4645	2772	2699	1768	4096	3993	2798	3815	3955	2678	2189	1788	2978	2695	1288
ENSG00000000457.12	853	692	1539	1940	1400	1648	1109	1329	1218	1017	608	1077	1212	1226	776	1057
ENSG00000000460.15	273	959	1077	1436	913	1853	837	273	1019	856	621	497	852	561	502	688
ENSG00000000938.11	1880	298	779	468	868	291	542	770	1431	438	463	369	691	1720	3987	817
ENSG00000000971.14	9967	2295	9786	4004	5009	1741	1835	2073	11219	2785	2333	5107	9022	11164	9794	734
ENSG00000001036.12	3112	3174	2736	3149	2684	5462	2981	871	12972	3591	2713	2216	4670	3978	4679	8233
ENSG00000001084.9	2278	4527	11773	16357	4096	3592	15118	12204	8271	13627	14597	3091	74142	3073	1748	3467
ENSG00000001167.13	1157	1181	2871	2950	3146	2498	3188	2674	2920	1255	2109	1856	3716	2132	1667	3373
ENSG00000001460.16	312	1632	1012	629	876	532	1030	694	543	662	1256	455	1268	369	287	487
ENSG00000001461.15	1512	2605	4011	2795	4038	2996	3131	3541	2402	1379	2125	3849	5207	2349	1859	3040
ENSG00000001497.15	1772	3832	2106	1813	2215	6954	2521	2859	2523	5299	3092	1318	3403	2097	2409	3086
ENSG00000001561.6	1243	590	1995	403	2995	596	3214	513	2676	247	1400	2920	2211	1934	1354	3022
ENSG00000001617.10	4099	4174	11526	15335	6921	6002	6110	9766	7616	7802	6996	3146	14240	6506	5375	8872
ENSG00000001626.13	5937	23	293	98	170	6352	17	21	2217	17	5	3966	14	8	1604	637
ENSG00000001629.8	3978	3642	6107	6550	7905	8275	5669	6215	7530	2513	4625	6461	7686	11986	4449	4376
ENSG00000001630.14	111	654	366	857	765	777	382	341	398	219	891	755	677	1032	499	561
ENSG00000001631.13	1349	2654	2364	3685	2818	5502	3310	3782	3161	2150	2208	2644	2550	3529	1806	1730
ENSG00000002016.15	335	648	721	676	465	1363	705	1917	985	724	446	714	549	648	586	568
ENSG00000002079.11	25	16	145	53	377	58	68	76	127	17	16	42	120	600	64	57
ENSG00000002330.12	1345	3752	1703	1446	1519	849	1827	2038	1181	2164	1427	608	1714	1134	1234	3664
ENSG00000002549.11	22637	5565	6507	5447	19015	4966	4369	8845	6709	4586	3831	5068	5374	10255	5847	4732
ENSG00000002586.16	8420	10203	5209	8839	5333	13096	9748	9322	14225	6207	7864	2553	9916	4282	10759	9629
ENSG00000002587.8	1094	340	4454	311	1290	2373	333	497	1657	356	649	1783	737	3627	2912	7478
ENSG00000002726.18	484	35	175	87	3469	387	193	27	28744	18	44	698	251	69	6340	49908
ENSG00000002745.11	20	11	34	53	5	32	9	12	30	27	1	11	162	25	24	11
ENSG00000002746.13	94	156	359	767	96	53	177	72	249	300	77	195	738	22	51	10
ENSG00000002822.14	1930	2612	2026	1267	2759	2549	2354	1401	1832	1916	948	1545	3076	2043	2576	6315
ENSG00000002834.16	14205	9598	16943	13259	43620	30479	14708	10572	32665	12932	33530	13600	26816	24563	19457	39279
ENSG00000002919.13	1502	1308	1378	1257	870	1414	2148	1352	1433	1177	1536	852	1727	1925	1704	1490
ENSG00000002933.6	8721	2022	2138	1619	1137	2246	1087	1098	12107	2299	1085	2108	2532	3618	18043	38113
ENSG00000003056.6	2631	3697	3969	5393	2885	5825	5077	5981	7193	4454	5764	2951	6495	2907	3460	3891
ENSG00000003096.12	153	2202	1309	2293	111	90	1304	1041	655	1242	1619	271	1497	198	216	733
ENSG00000003137.7	337	82	797	642	749	264	279	27	2574	86	372	259	897	333	3403	704
ENSG00000003147.16	633	201	805	148	3483	2357	97	126	2638	127	401	2503	162	2769	3700	5308
ENSG00000003249.12	415	508	5682	2418	2235	2667	1379	1511	1908	677	3291	786	1633	957	1149	6838
ENSG00000003393.13	1290	2991	2136	3067	3495	5051	2813	2077	3558	1207	3801	2035	5972	2147	2058	2408
ENSG00000003400.13	2245	403	2141	445	6925	1344	498	727	3036	555	1499	3061	1363	3450	3269	6170
ENSG00000003402.18	13853	3856	14866	6374	12727	8337	9091	31368	13319	3340	7466	10057	8397	16395	14500	21599
ENSG00000003436.13	3047	1346	11489	1062	1242	4419	1060	1957	8547	475	1346	3269	1849	19915	7641	1060
ENSG00000003509.14	476	1026	741	850	954	939	1031	685	1300	974	836	542	967	598	792	868
ENSG00000003756.15	4910	2615	3375	3536	6962	6298	5119	3891	6790	3029	2163	4834	4530	6680	6617	4704
ENSG00000003987.12	84	210	175	61	50	188	114	87	178	79	23	97	60	161	163	91
ENSG00000003989.15	1529	269	3382	138	1454	3844	156	125	2878	238	323	4796	205	2784	5738	18
ENSG00000004059.9	2955	10859	5155	7929	4781	2588	9481	5261	4397	6355	5143	1184	5995	1358	2905	7100
ENSG00000004139.12	667	674	734	433	663	692	312	378	843	385	219	660	994	580	720	1194
ENSG00000004142.10	4161	10223	6297	7272	9125	7009	6922	6190	5978	9423	10278	3119	5032	7226	4696	10715
ENSG00000004399.11	11421	3727	3900	13755	8542	11226	6719	2849	24886	3069	6602	8397	17801	7170	21213	17547
ENSG00000004455.15	4355	6290	4860	3384	6038	5494	12731	7286	12833	5292	3534	3019	5703	4177	5153	13999
ENSG00000004468.11	12017	3507	1672	417	1795	736	123	355	444	872	490	972	533	1275	1559	410
ENSG00000004478.7	2581	18553	13449	18078	4421	6003	9253	14690	11639	14400	15798	4167	9663	6926	4598	11941
ENSG00000004487.14	2644	8712	5221	5367	9100	8918	24320	4616	4793	5419	4754	4607	10846	3850	4655	4047
ENSG00000004534.13	3171	2872	2746	2236	4613	3533	2653	3191	4573	2366	1435	2615	2708	4445	4585	3512
ENSG00000004660.13	383	1610	713	2937	809	137	1790	1375	596	1401	719	323	1827	508	888	421
ENSG00000004700.14	1298	1362	2042	2744	1397	2413	2166	1996	3037	1306	1444	1292	4310	2166	1855	927
ENSG00000004766.14	961	1194	1485	2064	1698	3839	2003	2236	2399	1105	1166	1751	1798	4460	1599	1526
ENSG00000004776.10	3956	141	715	1034	330	184	148	2605	3567	345	98	1128	483	3590	635	67
ENSG00000004777.17	663	739	1134	1076	1360	2291	1853	866	759	718	1614	508	955	449	607	644
ENSG00000004779.8	3450	10653	3109	5809	2648	2060	3362	3754	5697	4824	4662	1536	2945	3985	2944	4067
ENSG00000004799.7	2720	128	1823	3158	1453	609	820	3125	3781	111	90	3562	388	12000	1950	1911
ENSG00000004809.12	5	4	38	21	8	3	37	1	3	5	2	3	4	17	9	10
ENSG00000004838.12	28	76	28	27	62	23	26	23	58	13	9	36	13	34	60	22
ENSG00000004846.15	15	24	148	4	8	68	68	11	32	3	1	3	3	51	7	0
ENSG00000004848.6	11	5	6	9	11	2	3	0	22	2	7	12	4	49	107	22
ENSG00000004864.12	770	2208	1742	2132	2370	5729	1163	1536	4329	1646	2073	1881	1998	5274	3169	3065
ENSG00000004866.17	1318	2726	1746	1871	2399	3021	1781	1277	3233	1899	1467	1732	1754	386	1926	2285
ENSG00000004897.10	3622	4687	5323	6752	4000	6029	6775	4040	7062	4219	7033	4340	12368	4545	4705	2911
ENSG00000004939.12	14	7	45	4	3	31	28	23	10	12	1	3	4	3	9	5
ENSG00000004948.12	15	4	59	114	22	3268	8	46	38	15	7	7	3	47	32	3
ENSG00000004961.13	955	1391	1543	1149	1950	1677	1782	2819	2469	913	1939	828	1406	2320	1557	2707
ENSG00000004975.10	1729	5317	2105	6266	1549	2287	5245	3192	2501	4032	2701	1225	5445	1560	1715	2488
ENSG00000005001.8	463	105	6956	3256	1586	1248	2661	1021	2239	274	1629	2425	2861	6879	893	2488
ENSG00000005007.11	6627	14548	14590	23733	13928	11615	14460	8274	11844	9895	23362	11232	16947	8107	9691	14646
ENSG00000005020.11	2588	2156	4540	3239	3623	4563	3670	4177	4886	2139	2033	3286	4427	2166	3634	2393
ENSG00000005022.5	6938	65244	18105	23004	17722	21853	25659	43314	18897	29183	37190	8299	22512	16343	16669	37916
ENSG00000005059.14	1528	1661	2031	845	2117	396	2463	1074	1234	1426	915	626	882	1911	1343	1529
ENSG00000005073.5	1	84	39	96	295	103	18	1	282	87	21	55	138	137	319	245
ENSG00000005075.14	1209	4806	1987	2665	1455	2314	1648	2818	1560	4434	3104	1169	2158	11259	2373	3034
ENSG00000005100.11	1187	2262	1269	3393	1788	1862	2661	2023	2773	1602	1240	970	6394	1337	1625	1777
ENSG00000005102.11	563	138	107	245	197	175	135	177	343	97	46	46	84	191	388	135
ENSG00000005108.14	562	168	287	109	303	248	86	169	2009	122	1993	442	166	1487	1390	40
ENSG00000005156.10	1340	2405	2870	4326	2520	4397	1952	2769	2291	2908	5401	1852	3452	1726	1389	1888
ENSG00000005175.8	1344	3774	2107	1988	1524	3477	2741	1331	3394	2406	2419	1257	3732	1682	1634	1712
ENSG00000005187.10	258	46	248	43	354	1806	289	63	2723	85	114	1610	91	388	97	502
ENSG00000005189.18	243	940	401	282	597	450	594	183	343	610	266	170	184	414	152	276
ENSG00000005194.13	1729	3960	2263	3298	1749	2307	3032	2056	2663	3375	2588	1153	2731	2650	2002	2882
ENSG00000005206.15	3236	8439	2235	4528	2634	6607	5213	3681	3850	3800	3357	2123	4337	3964	4941	7743
ENSG00000005238.18	1006	865	1956	2508	1638	627	2119	1500	1782	707	2177	646	2127	2168	1846	1995
ENSG00000005243.8	396	786	596	1220	153	175	3384	381	662	1174	2128	217	2082	200	572	98
ENSG00000005249.11	728	1320	1170	1368	952	704	681	1450	1647	1362	322	1069	617	607	1306	94
ENSG00000005302.16	2802	1300	1677	1499	2387	1939	1854	1713	3234	1118	1596	1371	1619	2211	2824	2180
ENSG00000005339.11	11883	7994	15678	21101	10568	18917	19319	15145	22915	9338	14924	14180	15498	9737	8044	9360
ENSG00000005379.14	769	105	650	1689	331	597	577	565	256	454	109	1097	276	356	259	270
ENSG00000005381.7	19	1	15	2	14	5	1	8	13	3	7	8	5	41	21	3
ENSG00000005421.7	0	4	36	0	5	27	23	2	2	2	2	4	0	230	26	3
ENSG00000005436.12	1087	1896	1679	1891	2739	2218	1573	1335	2143	1595	884	983	1410	1168	1160	1151
ENSG00000005448.15	494	2745	929	1177	468	652	3222	307	460	1414	703	262	1567	606	923	503
ENSG00000005469.10	500	668	1821	1042	862	912	1588	4141	1726	794	601	1004	2026	1212	665	593
ENSG00000005471.14	59	44	147	122	42	288	78	67	155	37	39	65	100	87	576	17
ENSG00000005483.18	6836	5621	11842	7563	7637	15125	9961	14904	14528	4912	4663	16446	10324	7366	10513	9888
ENSG00000005486.15	6050	11793	10326	12716	7810	7886	10133	7226	6627	10977	6414	4671	30369	4494	10153	10968
ENSG00000005513.9	104	31	70	132	203	12	71	25	106	24	35	783	53	141	59	74
ENSG00000005700.13	3135	3961	6244	4458	8229	3987	6531	4562	13532	2473	3633	5044	5617	7374	3709	7873
ENSG00000005801.15	1120	1086	1994	1086	1783	2473	1588	1223	1752	1522	840	1100	935	3195	1713	1454
ENSG00000005810.16	8704	5130	14370	14831	8585	4267	13044	8926	8139	6717	13566	9434	9481	3676	5878	4030
ENSG00000005812.9	3853	4142	5012	5923	3971	2474	6710	4315	5258	3767	4842	3695	4748	3425	4498	2652
ENSG00000005844.16	12385	583	3139	586	2830	1681	550	1607	1018	2295	793	1450	842	2035	2970	1555
ENSG00000005882.10	1165	1087	978	1768	1137	2538	1230	2979	1586	1602	2228	1450	1146	733	768	1432
ENSG00000005884.16	13689	6938	30846	36059	32993	11554	35394	7767	10179	10390	5468	14963	141376	60682	9526	24286
ENSG00000005889.14	3016	2772	2829	4815	3125	4285	4244	3406	4616	1531	3494	2245	3019	2572	2278	2524
ENSG00000005893.14	9168	19953	19399	18203	12702	49309	32887	18284	19388	12540	12389	12991	26826	12262	12856	11417
ENSG00000005961.16	16	121	61	56	48	62	125	61	43	62	46	24	41	18	37	15
ENSG00000005981.11	2	12	82	4	3	22	40	0	1	2	2	434	12	49	18	1
ENSG00000006007.10	3669	5348	7207	7822	4234	5761	6410	4688	7667	4046	5164	6543	5963	5503	4233	6424
ENSG00000006015.16	1742	4716	1348	2211	1834	1183	1986	1385	1131	2432	2707	707	1264	967	2418	1639
ENSG00000006016.9	299	1389	125	763	57	49	248	221	949	188	1435	58	119	586	112	41
ENSG00000006025.10	1623	195	742	516	1311	1393	1167	713	2333	992	1417	2138	1450	1555	2117	3272
ENSG00000006042.10	2600	2295	820	2221	614	9057	1897	503	5599	2075	784	1504	1440	1102	3110	4906
ENSG00000006047.11	20	829	263	145	377	1555	485	496	782	113	130	478	328	273	78	229
ENSG00000006059.3	0	10	12	6	2	0	4	21	0	3	2	1	5	0	0	0
ENSG00000006062.12	2522	918	2497	1153	1193	1649	984	3870	2335	1428	899	1620	2321	3195	1455	1432
ENSG00000006071.10	19	28	28	62	14	69	12	3	5	3	14	10	1	12	4	6
ENSG00000006116.3	13	1	23	0	3	2	2	0	0	2	1	0	1	2	1	0
ENSG00000006118.13	1729	8075	16654	10524	6396	3927	15644	8790	6987	5328	5380	1945	29272	3980	12338	2712
ENSG00000006125.15	13189	16317	20205	15911	39227	25262	16977	14758	27109	11602	12783	17331	34343	22854	14133	24267
ENSG00000006128.10	15	0	3	5	1	1	0	7	3	0	0	2	3	6	0	0
ENSG00000006194.9	1271	1970	1751	2996	1385	1872	2296	2928	2690	2034	2259	1674	1434	2264	1563	1987
ENSG00000006210.6	12760	4894	32358	10517	6147	1666	22680	19011	2046	660	10024	2574	6312	6415	560	901
ENSG00000006282.18	3067	3139	1637	4848	2882	3451	6146	4375	4912	4239	5559	1166	3618	2511	2908	3951
ENSG00000006283.16	28	14	28	21	11	10	23	12	54	17	21	32	157	24	69	11
ENSG00000006327.12	1473	1840	1744	3528	2057	1934	4386	1534	3712	813	1488	925	6897	14912	2824	1638
ENSG00000006377.10	6	1529	111	627	3	0	317	8	1	1002	491	6	252	0	0	1
ENSG00000006432.14	420	293	5474	1848	2384	4433	2505	2715	2295	656	1183	2839	4573	2547	1220	2607
ENSG00000006451.6	2160	6774	6061	3892	4259	4316	6534	2867	4249	2882	5101	2177	7006	5237	5496	3557
ENSG00000006453.12	1584	2893	5759	7178	6977	4017	8419	5949	9931	3333	8472	6566	9370	21245	10872	14636
ENSG00000006459.9	1741	1455	5712	4262	2402	1479	6888	1841	4412	2667	4058	2880	3796	3422	3181	4042
ENSG00000006468.12	638	976	2259	2476	853	198	1160	667	861	408	3345	1549	1326	987	1279	152
ENSG00000006530.14	1122	2960	2129	3069	1809	1746	2719	5018	1927	2909	2224	919	2925	1636	1750	1640
ENSG00000006534.14	2285	302	619	408	7101	938	2517	503	2118	463	395	2697	465	6154	1946	6738
ENSG00000006555.9	907	5002	6476	7581	3453	2535	4502	7423	2785	4830	4555	2473	5493	1492	1807	21447
ENSG00000006576.15	1684	2622	2794	4108	1997	3024	2368	1006	3700	1620	2251	2130	4607	1151	2286	892
ENSG00000006606.7	131	317	86	295	57	18	248	7	55	159	51	20	486	54	105	49
ENSG00000006607.12	2184	2739	3752	2896	6411	8798	5573	1447	4780	1668	2719	7305	8124	3776	4816	6258
ENSG00000006611.14	1761	79	17	26	3228	3237	15	4	1112	13	12	2011	59	3525	2814	10211
ENSG00000006625.16	739	4518	2924	3147	1867	2369	2908	2013	2527	3779	3196	767	2238	2527	2588	2382
ENSG00000006634.6	839	2222	1835	1315	2042	2734	1251	745	2144	1884	1136	995	1086	2490	2381	1173
ENSG00000006638.10	460	215	114	187	196	123	112	286	572	96	119	91	265	118	567	254
ENSG00000006652.12	1222	3370	2551	3128	3238	3206	3323	2014	3755	1386	3178	2087	2789	802	2846	2208
ENSG00000006659.11	0	0	1	0	5	1	9	1	0	0	0	2	0	2	0	0
ENSG00000006695.9	982	1228	1038	1878	895	981	1394	2024	1177	1046	838	534	2303	443	1427	2251
ENSG00000006704.9	809	3670	5853	6901	4121	3278	3119	6432	2662	3896	3625	2230	3666	2800	2127	2701
ENSG00000006712.13	2344	3928	3053	3128	3657	4758	4115	2615	2972	3348	2934	1777	2352	3174	3282	4189
ENSG00000006715.14	3212	4685	3992	6194	3958	6263	4453	6791	8261	2504	4475	4214	6163	3677	4667	2988
ENSG00000006740.15	1301	736	234	340	973	8118	1130	713	1548	345	253	1483	299	445	653	4091
ENSG00000006744.17	3233	3880	2954	6044	4354	3814	5668	5032	3993	3663	3250	1836	8529	1588	4030	6597
ENSG00000006747.13	112	1779	1613	1093	137	603	93	272	334	1653	838	679	559	2500	922	2610
ENSG00000006756.14	1662	1702	3832	2832	2738	3084	1974	8189	4494	1267	1670	2807	2869	2416	2790	3032
ENSG00000006757.10	608	865	727	858	707	353	1042	940	680	967	766	367	526	629	522	914
ENSG00000006788.11	2	15	35	12	147	12	14	6	40	4	11	6	31	6	11	0
ENSG00000006831.9	2017	5690	9400	6901	3605	6970	7741	7679	7718	5938	5601	7420	9404	5253	5824	6178
ENSG00000006837.10	36	56	97	48	42	70	55	79	75	35	40	21	28	49	42	17
ENSG00000007001.11	8	3	28	39	7	5	13	47	4	7	10	6	7	9	0	0
ENSG00000007038.9	41	7	16	463	11	3	9	1015	26	3	22	1253	812	24	848	2691
ENSG00000007047.13	2045	3041	4602	4270	3668	7560	5544	4863	2383	3113	5033	2317	3281	2104	2595	3216
ENSG00000007062.10	3264	22	436	80	13726	593	39	59	8828	9	2	17939	103	3876	11750	10139
ENSG00000007080.9	1728	6442	2172	3003	3427	1588	3870	2019	1792	3128	3689	1109	2768	2146	2646	4588
ENSG00000007129.16	314	35	103	21	64	234	13	37	51	63	28	42	50	115	121	31
ENSG00000007168.11	6468	5642	6998	12190	5946	6859	15719	12380	11711	6117	6688	4958	17174	7026	8157	8785
ENSG00000007171.15	209	119	1528	89	11098	235	824	24	128	10	272	1812	187	172	11750	3147
ENSG00000007174.16	16	115	267	62	43	22	131	164	20	20	28	8	33	32	192	2
ENSG00000007202.13	6561	8053	13949	17231	34403	16469	12197	17229	17011	5683	19155	10043	19034	10494	11179	24478
ENSG00000007216.13	0	10	76	6	3	60	29	9	28	3	8	23	2	1	39	56
ENSG00000007237.17	4679	1216	1656	2576	1820	957	2602	3183	9593	1146	1537	2177	2793	2382	3379	258
ENSG00000007255.9	654	644	606	1201	978	1150	1478	1440	578	1327	1009	524	613	417	659	675
ENSG00000007264.12	595	1201	435	184	97	69	432	2127	65	337	441	49	110	167	786	169
ENSG00000007306.13	149	3	1666	11	595	481	13	37	60	2	456	1386	10	2330	678	71
ENSG00000007312.11	1396	53	463	32	303	109	21	53	127	121	89	40	31	192	293	59
ENSG00000007314.10	46	64	33	3	36	189	48	3	1415	36	76	8	3	19	14	2
ENSG00000007341.17	594	2354	822	671	552	989	1061	912	1146	538	341	353	778	605	620	895
ENSG00000007350.15	17	164	12	3	3	703	0	1	7	0	2	2	0	0	7	4
ENSG00000007372.19	126	299	205	168	715	148	167	127	118	433	141	76	425	281	114	1429
ENSG00000007376.6	1221	3605	1297	2577	1072	1193	1468	1228	2160	2365	1495	1026	1157	1247	1327	2575
ENSG00000007384.14	1915	809	3726	3498	4659	2999	3818	2543	2788	1083	2993	2497	1554	4432	2534	3049
ENSG00000007392.15	1297	2170	1275	1243	1137	1625	2238	1937	2590	1901	1066	2049	1373	2538	2318	1299
ENSG00000007402.10	149	392	161	156	152	420	141	216	219	97	216	552	51	122	205	55
ENSG00000007516.12	143	132	244	116	2508	71	488	120	145	101	166	119	97	106	76	301
ENSG00000007520.3	1458	3080	1498	2953	1165	971	2122	2396	2051	2264	2027	769	2123	1489	1358	2269
ENSG00000007541.13	2395	3119	1950	4059	2183	1896	2824	4216	3934	2549	3502	1782	2880	2783	2252	3475
ENSG00000007545.14	975	1304	2027	2481	766	1579	1937	2419	2073	1003	1332	1407	1858	1278	1293	1546
ENSG00000007866.17	1444	2597	5630	4889	3806	2952	11721	4600	4604	2536	4344	3355	5558	2456	3085	4672
ENSG00000007908.14	698	439	342	172	2094	331	115	65	10413	232	217	413	483	170	3621	59
ENSG00000007923.14	1167	2740	1614	2847	2546	2697	7624	2486	2045	1266	1426	1890	2620	1403	1196	2040
ENSG00000007933.11	609	140	385	281	490	218	376	134	649	162	31	474	183	116	421	125
ENSG00000007944.13	2310	6530	2486	1371	2152	2520	1396	4090	3014	2043	3622	1887	894	1792	883	2944
ENSG00000007952.16	81	140	160	62	957	151	53	40	58	68	40	37	43	205	252	35
ENSG00000007968.6	690	4767	1084	1206	1137	1623	1486	806	1077	940	789	588	791	719	917	878
ENSG00000008018.8	7822	20757	9603	10228	5238	6768	12642	6827	8730	12824	10368	3687	12236	7278	6986	8053
ENSG00000008056.11	256	77	115	108	150	87	128	51	411	126	49	90	165	100	796	116
ENSG00000008083.12	1430	1774	5635	5408	2008	3260	5944	2218	2093	2950	4374	2544	12979	2375	3679	1921
ENSG00000008086.9	1073	633	1597	780	946	2456	4989	1042	4671	290	1672	1989	3799	956	1254	3312
ENSG00000008118.8	103	27	75	19	41	17	64	26	94	15	45	36	74	39	125	42
ENSG00000008128.21	408	501	506	451	636	852	737	633	620	289	217	593	569	561	369	435
ENSG00000008130.14	3553	4596	3034	5515	8172	5914	7268	5074	4789	2281	2349	4365	5388	3013	4276	6761
ENSG00000008196.11	1	4	346	3	4	0	22	4	1	2	53	2	2	0	1	0
ENSG00000008197.4	3	1	22	1	3	0	7	0	1	2	0	0	0	0	0	0
ENSG00000008226.18	93	9763	65	126	47	137	165	139	110	83	1464	70	28	144	78	86
ENSG00000008256.14	2695	1635	1729	4271	4274	6200	3833	2782	5075	1705	2017	2886	7498	3637	2428	2592
ENSG00000008277.13	1306	348	425	166	628	68	98	746	569	108	59	220	444	952	561	53
ENSG00000008282.6	5303	25029	15942	17245	10225	10057	22101	12876	13027	15478	12125	7815	15880	5052	15668	6592
ENSG00000008283.14	2006	4662	6162	4929	4108	4468	5428	3889	35642	3948	5651	3225	5144	7698	3210	13015
ENSG00000008294.19	5088	5681	7879	17911	6057	7286	12858	6919	11762	4455	15231	8116	22066	11431	6488	4882
ENSG00000008300.13	490	316	595	1222	425	15948	397	5870	5640	728	279	3493	806	1565	3076	6098
ENSG00000008311.13	287	281	1040	393	249	884	389	553	901	702	977	421	337	482	325	205
ENSG00000008323.14	942	2380	4812	2210	1826	3141	3639	304	2339	857	2573	1344	2701	1389	796	5142
ENSG00000008324.9	714	1292	789	608	864	1195	799	443	1463	1290	460	424	661	1219	1280	1287
ENSG00000008382.14	677	1484	593	952	591	648	748	1947	711	1270	877	231	779	613	986	1209
ENSG00000008394.11	2237	23066	9499	21614	341	12065	5573	10545	11651	34766	596	4272	10380	7072	8026	3961
ENSG00000008405.10	1040	2026	1289	1122	1619	1421	1184	738	2731	1098	1482	1529	2276	2370	1963	1882
ENSG00000008438.4	11	8	16	6	18	31	2	21	22	1	2	13	7	13	81	15
ENSG00000008441.15	10418	11059	12787	8146	8277	9023	6869	28707	16355	8312	7297	7045	5717	6727	5245	10345
ENSG00000008513.13	4263	4270	5905	23348	9035	4111	23221	12008	6471	7585	14847	4230	9758	15161	10502	1756
ENSG00000008516.15	806	104	480	190	580	223	199	255	308	324	119	253	151	542	786	307
ENSG00000008517.15	17474	3165	10193	2066	14481	3673	4361	1779	3044	4181	1724	4343	4978	24372	11805	27131
ENSG00000008710.16	6301	8434	10850	13798	7013	7201	15560	19322	14308	5073	9300	9015	12338	5785	10091	6820
ENSG00000008735.13	127	515	933	3606	184	923	406	2502	583	1279	4915	372	1616	45	1049	975
ENSG00000008838.16	5118	6707	6125	6359	14275	9426	6743	5369	9359	6133	6823	4380	6286	5766	6680	18444
ENSG00000008853.15	1185	648	691	964	1163	5864	809	749	3363	753	452	1760	1279	1280	1275	2878
ENSG00000008869.10	1824	2068	3967	4822	4185	3644	3891	2375	4241	1629	3127	1735	4127	1598	2098	3211
ENSG00000008952.15	9336	10180	19124	18153	10952	15449	28478	9205	33755	14978	15622	13993	22467	17277	13238	14938
ENSG00000008988.8	43407	92938	33625	45062	44669	28480	21710	52245	29849	135546	50351	17732	46532	29588	53196	58615
ENSG00000009307.14	19174	35589	30285	34596	36811	37825	45336	33692	41867	16642	22734	17306	40546	17927	28775	29040
ENSG00000009335.16	4157	9514	8172	16562	9991	12651	10911	9411	12617	6969	9135	7501	16368	2704	5490	13851
ENSG00000009413.14	2834	3705	2960	3328	2428	3813	2315	2697	6474	1235	1494	2693	4257	2432	2016	1796
ENSG00000009694.12	105	22	71	56	25	318	35	268	165	18	8	194	14	60	1307	7
ENSG00000009709.10	0	1	688	38	0	4	75	2	0	381	5	0	7	1	0	0
ENSG00000009724.15	102	46	103	54	124	398	154	218	71	39	14	182	55	96	56	48
ENSG00000009765.13	17	12	27	2	135	255	7	11	340	1	40	1644	30	81	1616	842
ENSG00000009780.14	690	1088	834	612	721	928	1038	1218	952	378	446	389	822	747	1211	586
ENSG00000009790.13	1867	116	613	139	500	273	214	327	446	345	97	258	134	544	503	279
ENSG00000009830.10	666	1678	1327	2573	1975	2024	3359	3824	1584	1190	902	955	4574	908	2199	914
ENSG00000009844.14	1867	5714	4828	5089	2357	3453	5313	3116	4568	4293	5553	1794	6404	3334	2347	2488
ENSG00000009950.14	125	383	143	572	665	5226	144	208	30	355	105	301	189	168	306	62
ENSG00000009954.9	5689	12835	9171	14587	11749	17064	6267	10441	13747	8031	9174	7344	12387	13621	7958	9375
ENSG00000010017.12	2991	3610	5615	5787	5302	3346	2681	3129	5236	3098	4837	3338	8929	3020	3653	3570
ENSG00000010030.12	1980	1993	2080	305	2775	728	2606	1045	758	1966	557	488	305	1113	684	2685
ENSG00000010072.14	421	1464	2168	2754	1006	1736	878	847	1718	1193	1123	573	1400	809	836	606
ENSG00000010165.18	1333	1769	1570	3275	2852	3557	2557	2041	3916	2057	1508	1365	2994	1592	1998	3346
ENSG00000010219.12	982	2090	699	678	638	480	769	1306	905	2265	871	632	1199	557	1995	990
ENSG00000010244.15	8052	11890	19684	13671	18007	16987	18135	10063	15881	16179	16365	10450	13544	14992	11761	12037
ENSG00000010256.9	6558	26707	8141	15663	16366	8689	12227	11105	10413	14920	7408	4235	14133	7938	13719	21215
ENSG00000010270.12	1297	1252	1027	1436	1997	1847	1113	1409	2710	1226	959	1319	2614	2030	2475	1536
ENSG00000010278.10	7077	58168	66247	65480	13336	11442	69471	39892	11782	50757	35284	7981	36053	5754	13310	11842
ENSG00000010282.13	2	0	0	1	2	0	2	2	4	1	0	0	0	1	3	3
ENSG00000010292.11	4531	19115	22935	25473	11031	26619	14971	12031	14146	16251	15337	6170	23004	6403	6568	10578
ENSG00000010295.18	1334	311	411	483	562	403	333	597	994	435	363	344	577	833	1268	344
ENSG00000010310.7	64	54	275	56	198	231	327	174	57	51	58	181	43	369	139	234
ENSG00000010318.18	213	396	204	454	415	128	273	396	245	228	122	144	452	230	207	151
ENSG00000010319.5	1284	249	346	168	655	543	201	361	1773	267	272	270	247	942	1192	158
ENSG00000010322.14	6802	4615	3899	5229	9041	6642	6219	9468	9943	3701	3635	5977	8258	6013	6373	7631
ENSG00000010327.9	7391	2682	2280	2722	4171	8283	1790	2568	12441	4060	1945	3246	6889	8254	20124	3012
ENSG00000010361.12	318	1019	524	918	175	806	610	1047	300	918	386	121	367	131	249	91
ENSG00000010379.14	4	4	17	23	3	31	8	7	12	5	35	85	1	5	5	6
ENSG00000010404.16	9922	8907	18100	12287	9082	7841	23594	13455	12563	3848	6140	10614	18527	9375	7631	5956
ENSG00000010438.15	387	102	251	52	4455	632	507	70	504	46	73	653	56	7673	2497	7663
